"","diagYm","sidoName","usedMedicineQty","population"
"604",201008,"여수시",17532,265010
"605",201008,"영주시",1719,106837
"606",201008,"영천시",7903,92739
"607",201008,"오산시",6998,179281
"608",201008,"용인시",10858,839237
"609",201008,"울산광역시",103212,1055783
"610",201008,"원주시",46303,305068
"611",201008,"의왕시",476,141614
"612",201008,"의정부시",42787,409974
"613",201008,"이천시",5059,190167
"614",201008,"익산시",27061,290208
"615",201008,"인천광역시",201991,2595806
"616",201008,"전주시",94348,637613
"617",201008,"정읍시",5832,108003
"618",201008,"제주시",45851,393694
"619",201008,"제천시",1191,131977
"620",201008,"진주시",57203,330411
"621",201008,"창원시",136239,1028138
"622",201008,"천안시",72292,559514
"623",201008,"청주시",59089,787105
"624",201008,"춘천시",31039,270354
"625",201008,"충주시",11971,198332
"626",201008,"태백시",1314,50807
"627",201008,"통영시",9818,126382
"628",201008,"파주시",6495,319439
"629",201008,"평택시",15318,375434
"630",201008,"포천시",4531,133349
"631",201008,"포항시",48989,499943
"632",201008,"하남시",1692,135833
"633",201008,"화성시",3581,470027
"634",201009,"강릉시",52308,214003
"635",201009,"거제시",9258,222600
"636",201009,"경산시",7522,257604
"637",201009,"경주시",17345,249401
"638",201009,"계룡시",189,39788
"639",201009,"고양시",98303,885158
"640",201009,"공주시",3521,113865
"641",201009,"과천시",15,65292
"642",201009,"광명시",10201,322775
"643",201009,"광양시",1497,135324
"644",201009,"광주광역시",150983,1447291
"645",201009,"광주시",1867,221569
"646",201009,"구리시",14592,182075
"647",201009,"구미시",33913,393430
"648",201009,"군산시",5084,255605
"649",201009,"군포시",6471,270830
"650",201009,"김제시",3082,81735
"651",201009,"김천시",3935,125191
"652",201009,"김포시",8499,214050
"653",201009,"김해시",21354,478109
"654",201009,"나주시",5857,76966
"655",201009,"남양주시",11500,520270
"656",201009,"남원시",6445,77436
"657",201009,"논산시",5635,115614
"658",201009,"대구광역시",292195,2395518
"659",201009,"대전광역시",134932,1469599
"660",201009,"동두천시",2423,89226
"661",201009,"동해시",4754,88006
"662",201009,"목포시",61705,245720
"663",201009,"문경시",5353,67749
"664",201009,"밀양시",4149,97286
"665",201009,"보령시",3875,95781
"666",201009,"부산광역시",365584,3346609
"667",201009,"사천시",2900,104709
"668",201009,"삼척시",4065,65812
"669",201009,"상주시",7449,96360
"670",201009,"서귀포시",2663,127974
"671",201009,"서산시",5352,152892
"672",201009,"서울특별시",1214177,9512332
"673",201009,"성남시",101488,924284
"674",201009,"속초시",5602,79372
"675",201009,"수원시",95047,1040388
"676",201009,"순천시",26787,254214
"677",201009,"시흥시",18313,388402
"678",201009,"아산시",6693,269897
"679",201009,"안동시",27902,163300
"680",201009,"안산시",51113,690047
"681",201009,"안성시",8156,174065
"682",201009,"안양시",50803,588878
"683",201009,"양산시",34455,246583
"684",201009,"양주시",1121,180668
"685",201009,"여수시",15421,265010
"686",201009,"영주시",1670,106837
"687",201009,"영천시",6684,92739
"688",201009,"오산시",6695,179281
"689",201009,"용인시",13442,839237
"690",201009,"울산광역시",88428,1055783
"691",201009,"원주시",44695,305068
"692",201009,"의왕시",1012,141614
"693",201009,"의정부시",41475,409974
"694",201009,"이천시",5188,190167
"695",201009,"익산시",26698,290208
"696",201009,"인천광역시",195536,2595806
"697",201009,"전주시",92944,637613
"698",201009,"정읍시",4696,108003
"699",201009,"제주시",42070,393694
"700",201009,"제천시",1060,131977
"701",201009,"진주시",57657,330411
"702",201009,"창원시",129082,1028138
"703",201009,"천안시",72920,559514
"704",201009,"청주시",53580,787105
"705",201009,"춘천시",32944,270354
"706",201009,"충주시",12853,198332
"707",201009,"태백시",2133,50807
"708",201009,"통영시",7641,126382
"709",201009,"파주시",6610,319439
"710",201009,"평택시",10820,375434
"711",201009,"포천시",4477,133349
"712",201009,"포항시",44659,499943
"713",201009,"하남시",1368,135833
"714",201009,"화성시",3819,470027
"715",201010,"강릉시",45726,214003
"716",201010,"거제시",8099,222600
"717",201010,"경산시",6405,257604
"718",201010,"경주시",16334,249401
"719",201010,"계룡시",195,39788
"720",201010,"고양시",91791,885158
"721",201010,"공주시",3544,113865
"722",201010,"광명시",10670,322775
"723",201010,"광양시",3198,135324
"724",201010,"광주광역시",141001,1447291
"725",201010,"광주시",2384,221569
"726",201010,"구리시",15574,182075
"727",201010,"구미시",34206,393430
"728",201010,"군산시",5325,255605
"729",201010,"군포시",8385,270830
"730",201010,"김제시",3437,81735
"731",201010,"김천시",4393,125191
"732",201010,"김포시",7986,214050
"733",201010,"김해시",19082,478109
"734",201010,"나주시",5113,76966
"735",201010,"남양주시",11181,520270
"736",201010,"남원시",5432,77436
"737",201010,"논산시",6457,115614
"738",201010,"대구광역시",282099,2395518
"739",201010,"대전광역시",137814,1469599
"740",201010,"동두천시",1927,89226
"741",201010,"동해시",4058,88006
"742",201010,"목포시",62053,245720
"743",201010,"문경시",5022,67749
"744",201010,"밀양시",4273,97286
"745",201010,"보령시",4968,95781
"746",201010,"부산광역시",359885,3346609
"747",201010,"사천시",3220,104709
"748",201010,"삼척시",5511,65812
"749",201010,"상주시",6875,96360
"750",201010,"서귀포시",3310,127974
"751",201010,"서산시",5659,152892
"752",201010,"서울특별시",1206489,9512332
"753",201010,"성남시",96766,924284
"754",201010,"속초시",4106,79372
"755",201010,"수원시",96766,1040388
"756",201010,"순천시",23724,254214
"757",201010,"시흥시",15319,388402
"758",201010,"아산시",9553,269897
"759",201010,"안동시",27573,163300
"760",201010,"안산시",53856,690047
"761",201010,"안성시",7543,174065
"762",201010,"안양시",53501,588878
"763",201010,"양산시",33899,246583
"764",201010,"양주시",1576,180668
"765",201010,"여수시",16095,265010
"766",201010,"영주시",1748,106837
"767",201010,"영천시",6727,92739
"768",201010,"오산시",6508,179281
"769",201010,"용인시",11364,839237
"770",201010,"울산광역시",101808,1055783
"771",201010,"원주시",44651,305068
"772",201010,"의왕시",458,141614
"773",201010,"의정부시",39515,409974
"774",201010,"이천시",4688,190167
"775",201010,"익산시",24099,290208
"776",201010,"인천광역시",196491,2595806
"777",201010,"전주시",96849,637613
"778",201010,"정읍시",4443,108003
"779",201010,"제주시",41100,393694
"780",201010,"제천시",1176,131977
"781",201010,"진주시",53017,330411
"782",201010,"창원시",128236,1028138
"783",201010,"천안시",68648,559514
"784",201010,"청주시",47871,787105
"785",201010,"춘천시",26699,270354
"786",201010,"충주시",10407,198332
"787",201010,"태백시",2399,50807
"788",201010,"통영시",7720,126382
"789",201010,"파주시",5983,319439
"790",201010,"평택시",14540,375434
"791",201010,"포천시",4055,133349
"792",201010,"포항시",48725,499943
"793",201010,"하남시",1842,135833
"794",201010,"화성시",5399,470027
"795",201011,"강릉시",50016,214003
"796",201011,"거제시",10283,222600
